dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname,weighted_GDP
58,055,ch_chandigarh,Chandigarh,chandigarh,04,4,CH,CHANDIGARH,0.37098961006574965
397,347,jh_chatra,Chatra,chatra,20,20,JH,JHARKHAND,1.7106719047555605
488,425,mp_chhatarpur,Chhatarpur,chhatarpur,23,23,MP,MADHYA PRADESH,3.0756266887226986
489,455,mp_chhindwara,Chhindwara,chhindwara,23,23,MP,MADHYA PRADESH,4.575955548859196
538,731,gj_chota_udaipur,Chota Udaipur,chota_udaipur,24,24,GJ,GUJARAT,1.1995533810159587
606,582,ka_chikkaballapura,Chikkaballapura,chikkaballapura,29,26,KA,KARNATAKA,3.4828244684155223
607,570,ka_chikkamagaluru,Chikkamagaluru,chikkamagaluru,29,26,KA,KARNATAKA,2.584649257523317
608,566,ka_chitradurga,Chitradurga,chitradurga,29,26,KA,KARNATAKA,5.18571928888527
158,171,up_chitrakoot,Chitrakoot,chitrakoot,09,9,UP,UTTAR PRADESH,1.796395818028489
114,126,rj_chittaurgarh,Chittaurgarh,chittaurgarh,08,8,RJ,RAJASTHAN,5.949004172793945
294,274,mn_churachandpur,Churachandpur,churachandpur,14,14,MN,MANIPUR,0.4494846544761644
115,102,rj_churu,Churu,churu,08,8,RJ,RAJASTHAN,4.569567512546245
426,381,od_cuttack,Cuttack,cuttack,21,21,OD,ODISHA,3.810920910025825
540,485,gj_dohad,Dohad,dohad,24,24,GJ,GUJARAT,4.025765121859001
609,575,ka_dakshina_kannada,Dakshina Kannada,dakshina_kannada,29,26,KA,KARNATAKA,3.7402219653087094
754,495,dn_daman,Daman,daman,39,36,DN,"DADRA,NAGAR HAVELI,DAMAN & DIU",0.2720890265004365
490,428,mp_damoh,Damoh,damoh,23,23,MP,MADHYA PRADESH,3.1386763989397433
560,489,gj_the_dangs,The Dangs,the_dangs,24,24,GJ,GUJARAT,0.34927377575126173
457,416,cg_dakshin_bastar_dantewada,Dakshin Bastar Dantewada,dakshin_bastar_dantewada,22,22,CG,CHHATTISGARH,0.4602341574175022
491,422,mp_datia,Datia,datia,23,23,MP,MADHYA PRADESH,2.059100324768265
116,109,rj_dausa,Dausa,dausa,08,8,RJ,RAJASTHAN,3.7987184686242883
610,567,ka_davanagere,Davanagere,davanagere,29,26,KA,KARNATAKA,4.3536332443834445
63,060,uk_dehradun,Dehradun,dehradun,05,5,UK,UTTARAKHAND,4.758120536182464
427,373,od_deogarh,Deogarh,deogarh,21,21,OD,ODISHA,0.4350573705759703
159,190,up_deoria,Deoria,deoria,09,9,UP,UTTAR PRADESH,6.214278630357579
492,437,mp_dewas,Dewas,dewas,23,23,MP,MADHYA PRADESH,4.106149506308139
319,291,tr_dhalai,Dhalai,dhalai,16,16,TR,TRIPURA,0.549035284859456
458,412,cg_dhamtari,Dhamtari,dhamtari,22,22,CG,CHHATTISGARH,1.4865671543542351
399,354,jh_dhanbad,Dhanbad,dhanbad,20,20,JH,JHARKHAND,4.9200257242196175
493,438,mp_dhar,Dhar,dhar,23,23,MP,MADHYA PRADESH,4.289285428822216
162,177,up_faizabad,Faizabad,faizabad,09,9,UP,UTTAR PRADESH,3.3980330051556575
398,350,jh_deoghar,Deoghar,deoghar,20,20,JH,JHARKHAND,3.5918199136899904
611,562,ka_dharwad,Dharwad,dharwad,29,26,KA,KARNATAKA,4.380466596832626
